country_ch,country_en,cases,deaths
海地,Haiti,"25,985",766
貝南,Benin,"24,935",161
塞席爾,Seychelles,"24,788",134
巴哈馬,Bahamas,"24,476",717
安道爾,Andorra,"23,740",140
馬利,Mali,"21,378",668
剛果共和國,Congo,"20,089",367
東帝汶,East Timor,"19,839",122
布吉納法索,Burkina Faso,"17,632",318
塔吉克,Tajikistan,"17,493",125
臺灣,Taiwan,"17,050",850
索馬利亞,Somalia,"17,037",893
汶萊,Brunei,"15,491",100
南蘇丹,South Sudan,"15,242",135
紐西蘭,New Zealand,"13,748",51
赤道幾內亞,Equatorial Guinea,"13,710",175
吉布地,Djibouti,"13,668",189
聖露西亞,Saint Lucia,"13,640",301
尼加拉瓜,Nicaragua,"13,563",217
香港,Hong Kong,"12,667",213
中非,Central Africa,"12,163",101
甘比亞,Gambia,"10,170",343
葉門,Yemen,"10,127","1,984"
索馬利蘭,Somaliland,"8,381",588
聖馬利諾,San Marino,"8,202",100
厄利垂亞,Eritrea,"8,026",76
尼日,Niger,"7,438",276
獅子山,Sierra Leone,"7,114",123
多米尼克,Dominica,"6,862",47
葛摩,Comoros,"6,688",157
幾內亞比索,Guinea-Bissau,"6,484",149
格瑞那達,Grenada,"6,299",200
賴比瑞亞,Liberia,"6,278",287
查德,Chad,"6,183",184
列支敦斯登,Liechtenstein,"6,167",69
聖文森及格瑞那丁,Saint Vincent and the Grenadines,"5,850",81
摩納哥,Monaco,"5,210",39
安地卡及巴布達,Antigua and Barbuda,"4,283",119
聖多美普林西比,Sao Tome and Principe,"3,903",57
聖克里斯多福及尼維斯,Saint Kitts and Nevis,"3,043",28
不丹,Bhutan,"2,660",3
國際運輸工具(鑽石公主號),Int'l conveyance (Japan),741,13
澳門,Macao,79,0
教廷,Holy See,27,0
索羅門群島,Solomon islands,24,0
帛琉,Palau,10,0
萬那杜,Vanuatu,7,1
馬紹爾群島,Marshall Islands,4,0
薩摩亞,Samoa,2,0
密克羅尼西亞聯邦,Micronesia,1,0
庫克群島,Cook Islands,1,0
東加,Tonga,1,0
